original_word	ner	m_ner
Well	O	O
!	O	O
’	O	O
thought	O	O
Alice	B-PERSON	O
to	O	O
herself	B-PERX	O
,	B-PERX	O
‘	O	O
after	O	O
such	O	O
a	O	O
fall	O	O
as	O	O
this	O	O
,	O	O
I	B-PERX	O
shall	O	O
think	O	O
nothing	O	O
of	O	O
tumbling	O	O
down	O	O
stairs	O	O
!	O	O
How	O	O
brave	O	O
they	B-PERX	O
’ll	B-PERX	O
all	B-PERX	O
think	O	O
me	B-PERX	O
at	O	O
home	O	O
!	O	O
Why	O	O
,	O	O
I	B-PERX	O
would	O	O
n’t	O	O
say	O	O
anything	O	O
about	O	O
it	O	O
,	O	O
even	O	O
if	O	O
I	B-PERX	O
fell	O	O
off	O	O
the	O	O
top	O	O
of	O	O
the	O	O
house	O	O
!	O	O
’	O	O
(	O	O
Which	O	O
was	O	O
very	O	O
likely	O	O
true	O	O
.	O	O
)	O	O
Down	O	O
,	O	O
down	O	O
,	O	O
down	O	O
.	O	O
Would	O	O
the	O	O
fall	O	O
NEVER	O	O
come	O	O
to	O	O
an	O	O
end	O	O
!	O	O
‘	B-PERX	O
I	B-PERX	O
wonder	O	O
how	O	O
many	O	O
miles	O	O
I	B-PERX	O
’ve	B-PERX	O
fallen	O	O
by	O	O
this	O	O
time	O	O
?	O	O
’	O	O
she	B-PERX	O
said	O	O
aloud	O	O
.	O	O
‘	B-PERX	O
I	B-PERX	O
must	O	O
be	O	O
getting	O	O
somewhere	O	O
near	O	O
the	O	O
centre	O	O
of	O	O
the	O	O
earth	O	O
.	O	O
Let	O	O
me	B-PERX	O
see	O	O
:	O	O
that	O	O
would	O	O
be	O	O
four	O	O
thousand	O	O
miles	O	O
down	O	O
,	O	O
I	B-PERX	O
think	O	O
--	O	O
’	O	O
(	O	O
for	O	O
,	O	O
you	B-PERX	O
see	O	O
,	O	O
Alice	B-PERSON	O
had	O	O
learnt	O	O
several	O	O
things	O	O
of	O	O
this	O	O
sort	O	O
in	O	O
her	B-PERX	O
lessons	O	O
in	O	O
the	O	O
schoolroom	O	O
,	O	O
and	O	O
though	O	O
this	O	O
was	O	O
not	O	O
a	O	O
VERY	O	O
good	O	O
opportunity	O	O
for	O	O
showing	O	O
off	O	O
her	B-PERX	O
knowledge	O	O
,	O	O
as	O	O
there	O	O
was	O	O
no	B-PERX	O
one	I-PERX	O
to	O	O
listen	O	O
to	O	O
her	O	O
,	O	O
still	O	O
it	O	O
was	O	O
good	O	O
practice	O	O
to	O	O
say	O	O
it	O	O
over	O	O
)	O	O
‘	O	O
--	O	O
yes	O	O
,	O	O
that	O	O
’s	O	O
about	O	O
the	O	O
right	O	O
distance	O	O
--	O	O
but	O	O
then	O	O
I	O	O
wonder	O	O
what	O	O
Latitude	O	O
or	O	O
Longitude	O	O
I	O	O
’ve	O	O
got	O	O
to	O	O
?	O	O
’	O	O
(	O	O
Alice	O	O
had	O	O
no	O	O
idea	O	O
what	O	O
Latitude	O	O
was	O	O
,	O	O
or	O	O
Longitude	O	O
either	O	O
,	O	O
but	O	O
thought	O	O
they	O	O
were	O	O
nice	O	O
grand	O	O
words	O	O
to	O	O
say	O	O
.	O	O
)	O	O
Presently	O	O
she	B-PERX	O
began	O	O
again	O	O
.	O	O
‘	B-PERX	O
I	B-PERX	O
wonder	O	O
if	O	O
I	B-PERX	O
shall	O	O
fall	O	O
right	O	O
THROUGH	O	O
the	O	O
earth	O	O
!	O	O
How	O	O
funny	O	O
it	O	O
’ll	O	O
seem	O	O
to	O	O
come	O	O
out	O	O
among	O	O
the	B-PERX	O
people	I-PERX	O
that	I-PERX	O
walk	I-PERX	O
with	I-PERX	O
their	I-PERX	O
heads	I-PERX	O
downward	I-PERX	O
!	I-PERX	O
The	B-PERX	O
Antipathies	I-PERX	O
,	I-PERX	O
I	B-PERX	O
think	O	O
--	O	O
’	O	O
(	B-PERX	O
she	B-PERX	O
was	O	O
rather	O	O
glad	O	O
there	O	O
WAS	O	O
no	B-PERX	O
one	I-PERX	O
listening	O	O
,	O	O
this	O	O
time	O	O
,	O	O
as	O	O
it	O	O
did	O	O
n’t	O	O
sound	O	O
at	O	O
all	O	O
the	O	O
right	O	O
word	O	O
)	O	O
‘	O	O
--	O	O
but	O	O
I	O	O
shall	O	O
have	O	O
to	O	O
ask	O	O
them	O	O
what	O	O
the	O	O
name	O	O
of	O	O
the	O	O
country	O	O
is	O	O
,	O	O
you	O	O
know	O	O
.	O	O
Please	O	O
,	O	O
Ma’am	O	O
,	O	O
is	O	O
this	O	O
New	O	O
Zealand	O	O
or	O	O
Australia	O	O
?	O	O
’	O	O
(	O	O
and	O	O
she	O	O
tried	O	O
to	O	O
curtsey	O	O
as	O	O
she	O	O
spoke	O	O
--	O	O
fancy	O	O
CURTSEYING	O	O
as	O	O
you	O	O
’re	O	O
falling	O	O
through	O	O
the	O	O
air	O	O
!	O	O
Do	O	O
you	O	O
think	O	O
you	O	O
could	O	O
manage	O	O
it	O	O
?	O	O
)	O	O
‘	O	O
And	O	O
what	O	O
an	O	O
ignorant	O	O
little	O	O
girl	O	O
she	O	O
’ll	O	O
think	O	O
me	O	O
for	O	O
asking	O	O
!	O	O
No	O	O
,	O	O
it	O	O
’ll	O	O
never	O	O
do	O	O
to	O	O
ask	O	O
:	O	O
perhaps	O	O
I	O	O
shall	O	O
see	O	O
it	O	O
written	O	O
up	O	O
somewhere	O	O
.	O	O
’	O	O
Down	O	O
,	O	O
down	O	O
,	O	O
down	O	O
.	O	O
There	O	O
was	O	O
nothing	O	O
else	O	O
to	O	O
do	O	O
,	O	O
so	O	O
Alice	B-PERSON	O
soon	O	O
began	O	O
talking	O	O
again	O	O
.	O	O
‘	B-PERSON	O
Dinah	B-PERSON	O
’ll	B-PERSON	O
miss	O	O
me	B-PERX	O
very	O	O
much	O	O
to	O	O
-	O	O
night	O	O
,	O	O
I	B-PERX	O
should	O	O
think	O	O
!	O	O
’	O	O
(	B-PERSON	O
Dinah	B-PERSON	O
was	O	O
the	B-PERX	O
cat	I-PERX	O
.	I-PERX	O
)	I-PERX	O
‘	B-PERX	O
I	B-PERX	O
hope	O	O
they	B-PERX	O
’ll	B-PERX	O
remember	O	O
her	B-PERX	O
saucer	O	O
of	O	O
milk	O	O
at	O	O
tea	O	O
-	O	O
time	O	O
.	O	O
Dinah	B-PERSON	O
my	B-PERX	O
dear	I-PERX	O
!	I-PERX	O
I	B-PERX	O
wish	O	O
you	B-PERX	O
were	O	O
down	O	O
here	O	O
with	O	O
me	B-PERX	O
!	B-PERX	O
There	O	O
are	O	O
no	O	O
mice	O	O
in	O	O
the	O	O
air	O	O
,	O	O
I	B-PERX	O
’m	B-PERX	O
afraid	O	O
,	O	O
but	O	O
you	B-PERX	O
might	O	O
catch	O	O
a	O	O
bat	O	O
,	O	O
and	O	O
that	O	O
’s	O	O
very	O	O
like	O	O
a	O	O
mouse	O	O
,	O	O
you	O	O
know	O	O
.	O	O
But	O	O
do	O	O
cats	O	O
eat	O	O
bats	O	O
,	O	O
I	B-PERX	O
wonder	O	O
?	O	O
’	O	O
And	O	O
here	O	O
Alice	B-PERSON	O
began	O	O
to	O	O
get	O	O
rather	O	O
sleepy	O	O
,	O	O
and	O	O
went	O	O
on	O	O
saying	O	O
to	O	O
herself	B-PERX	O
,	B-PERX	O
in	O	O
a	O	O
dreamy	O	O
sort	O	O
of	O	O
way	O	O
,	O	O
‘	O	O
Do	O	O
cats	O	O
eat	O	O
bats	O	O
?	O	O
Do	O	O
cats	O	O
eat	O	O
bats	O	O
?	O	O
’	O	O
and	O	O
sometimes	O	O
,	O	O
‘	O	O
Do	O	O
bats	O	O
eat	O	O
cats	O	O
?	O	O
’	O	O
for	O	O
,	O	O
you	B-PERX	O
see	O	O
,	O	O
as	O	O
she	B-PERX	O
could	O	O
n’t	O	O
answer	O	O
either	O	O
question	O	O
,	O	O
it	O	O
did	O	O
n’t	O	O
much	O	O
matter	O	O
which	O	O
way	O	O
she	O	O
put	O	O
it	O	O
.	O	O
She	O	O
felt	O	O
that	O	O
she	O	O
was	O	O
dozing	O	O
off	O	O
,	O	O
and	O	O
had	O	O
just	O	O
begun	O	O
to	O	O
dream	O	O
that	O	O
she	O	O
was	O	O
walking	O	O
hand	O	O
in	O	O
hand	O	O
with	O	O
Dinah	O	O
,	O	O
and	O	O
saying	O	O
to	O	O
her	O	O
very	O	O
earnestly	O	O
,	O	O
‘	O	O
Now	O	O
,	O	O
Dinah	O	O
,	O	O
tell	O	O
me	O	O
the	O	O
truth	O	O
:	O	O
did	O	O
you	O	O
ever	O	O
eat	O	O
a	O	O
bat	O	O
?	O	O
’	O	O
when	O	O
suddenly	O	O
,	O	O
thump	O	O
!	O	O
thump	O	O
!	O	O
down	O	O
she	O	O
came	O	O
upon	O	O
a	O	O
heap	O	O
of	O	O
sticks	O	O
and	O	O
dry	O	O
leaves	O	O
,	O	O
and	O	O
the	O	O
fall	O	O
was	O	O
over	O	O
.	O	O
Alice	B-PERSON	O
was	O	O
not	O	O
a	O	O
bit	O	O
hurt	O	O
,	O	O
and	O	O
she	B-PERX	O
jumped	O	O
up	O	O
on	O	O
to	O	O
her	B-PERX	O
feet	O	O
in	O	O
a	O	O
moment	O	O
:	O	O
she	B-PERX	O
looked	O	O
up	O	O
,	O	O
but	O	O
it	O	O
was	O	O
all	O	O
dark	O	O
overhead	O	O
;	O	O
before	O	O
her	B-PERX	O
was	O	O
another	O	O
long	O	O
passage	O	O
,	O	O
and	O	O
the	B-PERX	O
White	I-PERX	O
Rabbit	I-PERX	O
was	O	O
still	O	O
in	O	O
sight	O	O
,	O	O
hurrying	O	O
down	O	O
it	O	O
.	O	O
There	O	O
was	O	O
not	O	O
a	O	O
moment	O	O
to	O	O
be	O	O
lost	O	O
:	O	O
away	O	O
went	O	O
Alice	B-PERSON	O
like	O	O
the	O	O
wind	O	O
,	O	O
and	O	O
was	O	O
just	O	O
in	O	O
time	O	O
to	O	O
hear	O	O
it	O	O
say	O	O
,	O	O
as	O	O
it	O	O
turned	O	O
a	O	O
corner	O	O
,	O	O
‘	O	O
Oh	O	O
my	O	O
ears	O	O
and	O	O
whiskers	O	O
,	O	O
how	O	O
late	O	O
it	O	O
’s	O	O
getting	O	O
!	O	O
’	O	O
She	B-PERX	O
was	O	O
close	O	O
behind	O	O
it	O	O
when	O	O
she	B-PERX	O
turned	O	O
the	O	O
corner	O	O
,	O	O
but	O	O
the	B-PERX	O
Rabbit	I-PERX	O
was	O	O
no	O	O
longer	O	O
to	O	O
be	O	O
seen	O	O
:	O	O
she	B-PERX	O
found	O	O
herself	B-PERX	O
in	O	O
a	O	O
long	O	O
,	O	O
low	O	O
hall	O	O
,	O	O
which	O	O
was	O	O
lit	O	O
up	O	O
by	O	O
a	O	O
row	O	O
of	O	O
lamps	O	O
hanging	O	O
from	O	O
the	O	O
roof	O	O
.	O	O
There	O	O
were	O	O
doors	O	O
all	O	O
round	O	O
the	O	O
hall	O	O
,	O	O
but	O	O
they	O	O
were	O	O
all	O	O
locked	O	O
;	O	O
and	O	O
when	O	O
Alice	B-PERSON	O
had	O	O
been	O	O
all	O	O
the	O	O
way	O	O
down	O	O
one	O	O
side	O	O
and	O	O
up	O	O
the	O	O
other	O	O
,	O	O
trying	O	O
every	O	O
door	O	O
,	O	O
she	B-PERX	O
walked	O	O
sadly	O	O
down	O	O
the	O	O
middle	O	O
,	O	O
wondering	O	O
how	O	O
she	B-PERX	O
was	O	O
ever	O	O
to	O	O
get	O	O
out	O	O
again	O	O
.	O	O
Suddenly	O	O
she	B-PERX	O
came	O	O
upon	O	O
a	O	O
little	O	O
three	O	O
-	O	O
legged	O	O
table	O	O
,	O	O
all	O	O
made	O	O
of	O	O
solid	O	O
glass	O	O
;	O	O
there	O	O
was	O	O
nothing	O	O
on	O	O
it	O	O
except	O	O
a	O	O
tiny	O	O
golden	O	O
key	O	O
,	O	O
and	O	O
Alice	B-PERSON	O
’s	B-PERSON	O
first	O	O
thought	O	O
was	O	O
that	O	O
it	O	O
might	O	O
belong	O	O
to	O	O
one	O	O
of	O	O
the	O	O
doors	O	O
of	O	O
the	O	O
hall	O	O
;	O	O
but	O	O
,	O	O
alas	O	O
!	O	O
either	O	O
the	O	O
locks	O	O
were	O	O
too	O	O
large	O	O
,	O	O
or	O	O
the	O	O
key	O	O
was	O	O
too	O	O
small	O	O
,	O	O
but	O	O
at	O	O
any	O	O
rate	O	O
it	O	O
would	O	O
not	O	O
open	O	O
any	O	O
of	O	O
them	O	O
.	O	O
However	O	O
,	O	O
on	O	O
the	O	O
second	O	O
time	O	O
round	O	O
,	O	O
she	B-PERX	O
came	O	O
upon	O	O
a	O	O
low	O	O
curtain	O	O
she	B-PERX	O
had	O	O
not	O	O
noticed	O	O
before	O	O
,	O	O
and	O	O
behind	O	O
it	O	O
was	O	O
a	O	O
little	O	O
door	O	O
about	O	O
fifteen	O	O
inches	O	O
high	O	O
:	O	O
she	B-PERX	O
tried	O	O
the	O	O
little	O	O
golden	O	O
key	O	O
in	O	O
the	O	O
lock	O	O
,	O	O
and	O	O
to	O	O
her	B-PERX	O
great	O	O
delight	O	O
it	O	O
fitted	O	O
!	O	O
Alice	B-PERSON	O
opened	O	O
the	O	O
door	O	O
and	O	O
found	O	O
that	O	O
it	O	O
led	O	O
into	O	O
a	O	O
small	O	O
passage	O	O
,	O	O
not	O	O
much	O	O
larger	O	O
than	O	O
a	O	O
rat	O	O
-	O	O
hole	O	O
:	O	O
she	B-PERX	O
knelt	O	O
down	O	O
and	O	O
looked	O	O
along	O	O
the	O	O
passage	O	O
into	O	O
the	O	O
loveliest	O	O
garden	O	O
you	B-PERX	O
ever	O	O
saw	O	O
.	O	O
How	O	O
she	B-PERX	O
longed	O	O
to	O	O
get	O	O
out	O	O
of	O	O
that	O	O
dark	O	O
hall	O	O
,	O	O
and	O	O
wander	O	O
about	O	O
among	O	O
those	O	O
beds	O	O
of	O	O
bright	O	O
flowers	O	O
and	O	O
those	O	O
cool	O	O
fountains	O	O
,	O	O
but	O	O
she	B-PERX	O
could	O	O
not	O	O
even	O	O
get	O	O
her	B-PERX	O
head	O	O
through	O	O
the	O	O
doorway	O	O
;	O	O
‘	O	O
and	O	O
even	O	O
if	O	O
my	O	O
head	O	O
would	O	O
go	O	O
through	O	O
,	O	O
’	O	O
thought	O	O
poor	O	O
Alice	B-PERSON	O
,	B-PERSON	O
‘	O	O
it	O	O
would	O	O
be	O	O
of	O	O
very	O	O
little	O	O
use	O	O
without	O	O
my	O	O
shoulders	O	O
.	O	O
Oh	O	O
,	O	O
how	O	O
I	B-PERX	O
wish	O	O
I	B-PERX	O
could	O	O
shut	O	O
up	O	O
like	O	O
a	O	O
telescope	O	O
!	O	O
I	B-PERX	O
think	O	O
I	B-PERX	O
could	O	O
,	O	O
if	O	O
I	B-PERX	O
only	O	O
knew	O	O
how	O	O
to	O	O
begin	O	O
.	O	O
’	O	O
For	O	O
,	O	O
you	B-PERX	O
see	O	O
,	O	O
so	O	O
many	O	O
out	O	O
-	O	O
of	O	O
-	O	O
the	O	O
-	O	O
way	O	O
things	O	O
had	O	O
happened	O	O
lately	O	O
,	O	O
that	O	O
Alice	B-PERSON	O
had	O	O
begun	O	O
to	O	O
think	O	O
that	O	O
very	O	O
few	O	O
things	O	O
indeed	O	O
were	O	O
really	O	O
impossible	O	O
.	O	O
There	O	O
seemed	O	O
to	O	O
be	O	O
no	O	O
use	O	O
in	O	O
waiting	O	O
by	O	O
the	O	O
little	O	O
door	O	O
,	O	O
so	O	O
she	B-PERX	O
went	O	O
back	O	O
to	O	O
the	O	O
table	O	O
,	O	O
half	O	O
hoping	O	O
she	B-PERX	O
might	O	O
find	O	O
another	O	O
key	O	O
on	O	O
it	O	O
,	O	O
or	O	O
at	O	O
any	O	O
rate	O	O
a	O	O
book	O	O
of	O	O
rules	O	O
for	O	O
shutting	O	O
people	O	O
up	O	O
like	O	O
telescopes	O	O
:	O	O
this	O	O
time	O	O
she	B-PERX	O
found	O	O
a	O	O
little	O	O
bottle	O	O
on	O	O
it	O	O
,	O	O
[	O	O
‘	O	O
which	O	O
certainly	O	O
was	O	O
not	O	O
here	O	O
before	O	O
,	O	O
’	O	O
said	O	O
Alice	B-PERSON	O
,	B-PERSON	O
)	B-PERSON	O
and	O	O
round	O	O
the	O	O
neck	O	O
of	O	O
the	O	O
bottle	O	O
was	O	O
a	O	O
paper	O	O
label	O	O
,	O	O
with	O	O
the	O	O
words	O	O
‘	O	O
DRINK	O	O
ME	O	O
’	O	O
beautifully	O	O
printed	O	O
on	O	O
it	O	O
in	O	O
large	O	O
letters	O	O
.	O	O
It	O	O
was	O	O
all	O	O
very	O	O
well	O	O
to	O	O
say	O	O
‘	O	O
Drink	O	O
me	O	O
,	O	O
’	O	O
but	O	O
the	O	O
wise	O	O
little	O	O
Alice	B-PERSON	O
was	O	O
not	O	O
going	O	O
to	O	O
do	O	O
THAT	O	O
in	O	O
a	O	O
hurry	O	O
.	O	O
‘	O	O
No	O	O
,	O	O
I	B-PERX	O
’ll	B-PERX	O
look	O	O
first	O	O
,	O	O
’	O	O
she	B-PERX	O
said	O	O
,	O	O
‘	O	O
and	O	O
see	O	O
whether	O	O
it	O	O
’s	O	O
marked	O	O
“	O	O
poison	O	O
”	O	O
or	O	O
not	O	O
’	O	O
;	O	O
for	O	O
she	B-PERX	O
had	O	O
read	O	O
several	O	O
nice	O	O
little	O	O
histories	O	O
about	O	O
children	B-PERX	O
who	I-PERX	O
had	I-PERX	O
got	I-PERX	O
burnt	I-PERX	O
,	I-PERX	O
and	I-PERX	O
eaten	I-PERX	O
up	I-PERX	O
by	I-PERX	O
wild	I-PERX	O
beasts	I-PERX	O
and	I-PERX	O
other	I-PERX	O
unpleasant	I-PERX	O
things	I-PERX	O
,	I-PERX	O
all	O	O
because	O	O
they	O	O
WOULD	O	O
not	O	O
remember	O	O
the	O	O
simple	O	O
rules	O	O
their	O	O
friends	O	O
had	O	O
taught	O	O
them	O	O
:	O	O
such	O	O
as	O	O
,	O	O
that	O	O
a	O	O
red	O	O
-	O	O
hot	O	O
poker	O	O
will	O	O
burn	O	O
you	O	O
if	O	O
you	O	O
hold	O	O
it	O	O
too	O	O
long	O	O
;	O	O
and	O	O
that	O	O
if	O	O
you	O	O
cut	O	O
your	O	O
finger	O	O
VERY	O	O
deeply	O	O
with	O	O
a	O	O
knife	O	O
,	O	O
it	O	O
usually	O	O
bleeds	O	O
;	O	O
and	O	O
she	O	O
had	O	O
never	O	O
forgotten	O	O
that	O	O
,	O	O
if	O	O
you	O	O
drink	O	O
much	O	O
from	O	O
a	O	O
bottle	O	O
marked	O	O
‘	O	O
poison	O	O
,	O	O
’	O	O
it	O	O
is	O	O
almost	O	O
certain	O	O
to	O	O
disagree	O	O
with	O	O
you	O	O
,	O	O
sooner	O	O
or	O	O
later	O	O
.	O	O
However	O	O
,	O	O
this	O	O
bottle	O	O
was	O	O
NOT	O	O
marked	O	O
‘	O	O
poison	O	O
,	O	O
’	O	O
so	O	O
Alice	B-PERSON	O
ventured	O	O
to	O	O
taste	O	O
it	O	O
,	O	O
and	O	O
finding	O	O
it	O	O
very	O	O
nice	O	O
,	O	O
(	O	O
it	O	O
had	O	O
,	O	O
in	O	O
fact	O	O
,	O	O
a	O	O
sort	O	O
of	O	O
mixed	O	O
flavour	O	O
of	O	O
cherry	O	O
-	O	O
tart	O	O
,	O	O
custard	O	O
,	O	O
pine	O	O
-	O	O
apple	O	O
,	O	O
roast	O	O
turkey	O	O
,	O	O
toffee	O	O
,	O	O
and	O	O
hot	O	O
buttered	O	O
toast	O	O
,	O	O
)	O	O
she	B-PERX	O
very	O	O
soon	O	O
finished	O	O
it	O	O
off	O	O
.	O	O
‘	O	O
What	O	O
a	O	O
curious	O	O
feeling	O	O
!	O	O
’	O	O
said	O	O
Alice	B-PERSON	O
;	B-PERSON	O
‘	B-PERX	O
I	B-PERX	O
must	O	O
be	O	O
shutting	O	O
up	O	O
like	O	O
a	O	O
telescope	O	O
.	O	O
’	O	O
And	O	O
so	O	O
it	O	O
was	O	O
indeed	O	O
:	O	O
she	B-PERX	O
was	O	O
now	O	O
only	O	O
ten	O	O
inches	O	O
high	O	O
,	O	O
and	O	O
her	B-PERX	O
face	O	O
brightened	O	O
up	O	O
at	O	O
the	O	O
thought	O	O
that	O	O
she	B-PERX	O
was	O	O
now	O	O
the	O	O
right	O	O
size	O	O
for	O	O
going	O	O
through	O	O
the	O	O
little	O	O
door	O	O
into	O	O
that	O	O
lovely	O	O
garden	O	O
.	O	O
First	O	O
,	O	O
however	O	O
,	O	O
she	B-PERX	O
waited	O	O
for	O	O
a	O	O
few	O	O
minutes	O	O
to	O	O
see	O	O
if	O	O
she	B-PERX	O
was	O	O
going	O	O
to	O	O
shrink	O	O
any	O	O
further	O	O
:	O	O
she	B-PERX	O
felt	O	O
a	O	O
little	O	O
nervous	O	O
about	O	O
this	O	O
;	O	O
‘	O	O
for	O	O
it	O	O
might	O	O
end	O	O
,	O	O
you	O	O
know	O	O
,	O	O
’	O	O
said	O	O
Alice	B-PERSON	O
to	O	O
herself	B-PERX	O
,	B-PERX	O
‘	O	O
in	O	O
my	O	O
going	O	O
out	O	O
altogether	O	O
,	O	O
like	O	O
a	O	O
candle	O	O
.	O	O
I	B-PERX	O
wonder	O	O
what	O	O
I	B-PERX	O
should	O	O
be	O	O
like	O	O
then	O	O
?	O	O
’	O	O
And	O	O
she	B-PERX	O
tried	O	O
to	O	O
fancy	O	O
what	O	O
the	O	O
